institution,actAvg,hsGpaAvg,satAvg,acceptanceRate,satEla50,satEla75,satMath50,satMath75,actComp50,actComp75,actEng50,actEng75,actMath50,actMath75
Bakersfield College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baker University,13,3.4,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baldwin Wallace University,20,NA,1050,77,590,650,580,640,25,29,25,29,25,28
Ball State University,25,3.6,1080,72,590,640,570,620,23,24,22,23,22,25
Baptist Health Sciences University,NA,NA,NA,41,NA,NA,NA,NA,20,22,19,23,18,21
Baptist Missionary Association Theological Seminary,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baptist University of Florida,17,NA,930,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barclay College,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bard College,NA,NA,NA,46,710,750,670,700,30,32,33,35,27,29
Bard College at Simon's Rock,NA,NA,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barnard College,32,3.9,1453,8,750,770,770,790,34,34,35,35,32,34
Barry University,16,3.4,860,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barton College,NA,3.3,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bates College,31,NA,1355,13,730,750,735,780,33,34,NA,NA,NA,NA
Baylor University,27,NA,1210,51,650,700,650,700,30,32,30,34,27,30
Bay Mills Community College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bay Path University,NA,NA,1020,76,570,610,550,600,NA,NA,NA,NA,NA,NA
Beacon College,NA,3.4,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belhaven University,22,3.5,1013,53,579,668,575,630,22,24,21,25,21,24
Bellarmine University,22,3.5,1075,94,560,630,590,620,25,28,25,29,24,27
Bellevue College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bellevue University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bellin College,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bellingham Technical College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belmont Abbey College,17,NA,940,97,550,610,530,590,22,26,21,25,21,25
Belmont University,24,3.8,1170,96,650,690,610,660,27,30,28,33,25,28
Beloit College,26,3.4,1210,57,685,720,635,710,26,30,26,33,24,27
Bemidji State University,18,NA,NA,78,NA,NA,NA,NA,21,24,20,22,20,24
Benedict College,NA,3,820,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benedictine College,22,3.6,1125,76,650,690,650,690,25,29,25,29,25,27
Benedictine University,25,3.4,1060,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett College,NA,NA,NA,45,482,580,443,480,NA,NA,NA,NA,NA,NA
Bennington College,30,3.7,1290,48,725,750,610,653,32,32,32,33,24,26
Bentley University,29,NA,1250,48,660,700,690,730,30,31,32,34,27,32
Berea College,24,3.5,1156,33,630,680,610,655,26,28,25,30,24,26
Berklee College of Music,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berry College,23,3.9,1100,62,620,680,600,650,25,28,25,29,23,26
Bethany Lutheran College,20,NA,990,58,570,580,580,600,23,26,22,25,23,26
Bethune-Cookman University,15,3.2,810,99,460,510,420,480,NA,NA,NA,NA,NA,NA
Biola University,24,3.6,1130,61,650,700,615,670,26,29,26,32,25,27
Bismarck State College,NA,3.3,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blackburn College,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black Hills State University,18,NA,970,95,530,565,530,570,21,24,20,23,19,24
Bluefield State University,17,NA,870,97,490,540,485,540,20,22,18,21,19,21
Bluefield University,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue Mountain Christian University,18,3.5,940,100,NA,NA,NA,NA,21,24,20,25,20,24
Bluffton University,17,3.3,920,61,490,550,470,580,18,22,15,22,20,25
Bob Jones University,19,3.5,1020,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boise State University,20,3.5,960,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bon Secours Memorial College of Nursing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boricua College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Architectural College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston College,33,NA,1430,16,740,760,760,780,34,35,35,35,32,34
Boston University,32,3.9,1400,11,720,750,760,780,33,34,35,35,32,35
Bowdoin College,33,NA,1480,8,750,770,770,780,34,35,35,36,32,34
Bowie State University,17,3.2,700,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradley University,25,3.8,1060,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandeis University,31,3.9,1370,35,730,750,740,770,32,34,34,35,30,34
Brazosport College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brenau University,17,3.3,990,87,550,620,540,580,20,22,20,22,18,19
Brescia University,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevard College,18,3.2,960,30,550,620,530,600,20,26,21,25,20,26
Brewton-Parker College,NA,3.1,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Briar Cliff University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bridgewater College,28,NA,1070,91,590,680,590,680,NA,NA,NA,NA,NA,NA
Bridgewater State University,18,3.4,1040,89,600,650,570,613,28,30,NA,NA,NA,NA
Brigham Young University,28,3.9,1290,69,680,730,680,730,30,32,31,34,28,31
Brigham Young University-Hawaii,19,NA,1023,34,570,620,520,570,23,25,23,25,22,25
Brookline College-Phoenix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Broward College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown University,34,NA,1500,5,760,780,780,800,35,35,35,36,34,35
Bryan College of Health Sciences,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bryant University,28,3.5,1160,66,640,660,620,670,28,28,NA,NA,NA,NA
Bryn Athyn College of the New Church,NA,NA,980,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bryn Mawr College,30,NA,1300,31,710,750,680,760,31,33,34,35,28,31
Bucknell University,31,3.6,1305,32,700,730,700,740,32,33,33,35,29,32
Buena Vista University,18,3.5,NA,72,NA,NA,NA,NA,22,26,21,25,21,24
Bushnell University,15,3.5,1010,66,NA,NA,NA,NA,19,20,18,19,16,16
Butler University,26,3.9,1180,86,630,680,620,670,28,31,29,33,26,30
Cabarrus College of Health Sciences,NA,NA,NA,45,NA,NA,NA,NA,23,23,20,22,21,22
Caldwell University,NA,3.4,1056,66,590,630,670,740,NA,NA,NA,NA,NA,NA
California Baptist University,18,3.6,780,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California College of the Arts,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California Institute of Technology,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California Institute of the Arts,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California Lutheran University,23,3.8,1126,89,650,670,620,660,26,31,26,30,26,26
Calvary University,15,NA,870,63,550,610,500,530,20,24,20,25,19,22
Calvin University,22,3.8,1070,71,620,660,600,670,27,30,27,33,26,28
Cambridge College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron University,16,3.3,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbellsville University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell University,19,3.5,1040,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canisius University,23,3.4,1000,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capital University,18,3.6,980,73,520,590,490,590,21,25,20,24,20,25
Capitol Technology University,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carleton College,32,NA,1430,22,745,770,770,790,34,34,35,35,32,34
Carlow University,NA,3.6,850,87,545,598,535,570,NA,NA,NA,NA,NA,NA
Carnegie Mellon University,34,3.9,1500,11,750,770,790,800,35,35,35,36,35,36
Carolinas College of Health Sciences,NA,NA,NA,71,600,690,530,690,NA,NA,NA,NA,NA,NA
Carroll College,24,3.6,1080,73,600,660,560,640,25,27,24,28,24,27
Carroll University,22,3.6,1060,58,610,640,580,630,24,27,23,27,23,26
Carson-Newman University,19,3.6,940,68,530,645,540,570,22,25,21,25,21,25
Carthage College,19,3.3,1000,84,NA,NA,NA,NA,23,25,22,26,19,25
Cascadia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Case Western Reserve University,32,3.8,1420,29,740,760,770,780,34,34,35,35,34,35
Catawba College,20,3.6,1010,78,550,650,560,650,21,25,20,24,19,24
The Catholic University of America,24,3.5,1070,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cedar Crest College,NA,3.4,1000,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cedarville University,23,3.9,1130,63,630,690,600,670,26,29,26,31,25,28
Centenary University,NA,NA,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central Baptist College,17,3.6,925,46,515,553,505,568,20,23,20,23,18,22
Central Christian College of Kansas,NA,3.1,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central College,19,3.7,935,79,550,560,550,560,23,26,21,23,23,27
Central Connecticut State University,19,3.2,960,76,550,600,530,590,NA,NA,NA,NA,NA,NA
Centralia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central Michigan University,21,3.5,960,91,550,610,530,590,24,27,23,27,24,27
Central Penn College,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central State University,NA,NA,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central Washington University,21,3.3,910,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centre College,26,3.9,1230,56,680,720,680,730,29,32,29,34,26,29
Chadron State College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaminade University of Honolulu,NA,3.5,NA,92,555,625,505,625,NA,NA,NA,NA,NA,NA
Champlain College,27,3.4,1173,66,670,700,640,680,28,29,26,29,26,28
Chapman University,28,NA,1250,56,680,720,670,720,30,31,32,35,27,29
Charleston Southern University,17,NA,960,87,530,600,510,560,21,24,21,24,19,24
Chatham University,23,3.7,1070,73,610,670,570,625,26,30,26,32,23,26
Chestnut Hill College,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheyney University of Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chicago State University,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chipola College,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chowan University,15,3.1,880,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian Brothers University,18,3.7,1040,88,590,700,615,680,21,24,21,23,20,25
Christopher Newport University,23,3.8,1100,88,610,660,560,630,27,30,NA,NA,NA,NA
Citadel Military College of South Carolina,22,3.8,1080,98,590,640,600,645,25,27,21,25,22,25
Claflin University,16,3.6,900,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Claremont McKenna College,33,NA,1450,11,750,770,780,790,34,35,35,35,33,35
Clark Atlanta University,16,3.5,880,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clark College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clarke University,18,3.2,895,68,520,570,540,590,20,24,20,24,20,24
Clarkson College,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clarkson University,26,3.8,1198,77,640,690,660,700,28,32,25,30,28,32
Clark University,30,3.7,1240,42,700,740,658,720,31,33,33,35,27,30
Clear Creek Baptist Bible College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleary University,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clemson University,28,NA,1230,38,660,700,660,710,31,32,31,34,28,31
Cleveland Institute of Art,NA,3.4,NA,56,620,660,530,620,26,29,26,31,23,29
Cleveland Institute of Music,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland State University,17,3.3,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clover Park Technical College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coastal Carolina University,20,3.7,1050,80,580,620,560,600,23,26,22,25,22,25
Coe College,22,3.6,1080,71,580,640,570,650,26,29,25,28,25,27
Coker University,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colby College,32,NA,1440,7,740,760,770,790,33,34,35,35,31,34
Colby-Sawyer College,NA,3.4,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colegio Universitario de San Juan,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colgate University,33,3.9,1430,12,740,760,760,780,34,34,35,35,32,34
College for Creative Studies,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
College of Central Florida,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
College of Charleston,24,3.8,1130,72,630,670,590,640,27,30,27,31,25,27
College of Coastal Georgia,14,3.2,900,99,530,570,460,530,19,22,19,21,19,22
College of Menominee Nation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The College of New Jersey,25,NA,1140,62,620,670,620,670,28,31,NA,NA,27,29
College of Saint Mary,17,3.5,830,65,NA,NA,NA,NA,23,26,NA,NA,NA,NA
College of Southern Nevada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
College of the Atlantic,31,3.8,1280,69,710,730,660,700,NA,NA,NA,NA,NA,NA
College of the Holy Cross,28,NA,1250,21,670,710,670,700,30,32,31,34,27,29
College of the Ozarks,20,3.8,1080,15,570,630,530,590,22,25,22,25,21,24
The College of Westchester,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The College of Wooster,27,3.7,1250,54,680,740,650,720,30,33,30,34,27,30
Collin County Community College District,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado Christian University,23,NA,1120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado College,29,NA,1260,16,680,730,660,730,31,33,32,35,27,31
Colorado Mesa University,19,3,930,81,530,590,520,570,21,24,21,24,21,25
Colorado Mountain College,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado School of Mines,29,3.8,1320,60,690,730,710,750,32,33,33,35,31,34
Colorado State University Pueblo,17,NA,900,99,NA,NA,NA,NA,22,26,20,25,21,27
Columbia Basin College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
