displayName,schoolType,state,city,region,isPublic,displayRank,sortRank,ReligiousAffiliation
Asbury University,regional-universities-south,KY,Wilmore,south,True,#31,31,
Ashland University,regional-universities-midwest,OH,Ashland,midwest,True,#37,37,
Aspen University,health,AZ,Phoenix,,True,Unranked,-2,
Assumption University,regional-universities-north,MA,Worcester,north,True,#57,57,
Atenas University Dr. María Luisa Hernández,health,PR,Manati,,True,Unranked,-2,
Atlanta Metropolitan State College,regional-colleges-south,GA,Atlanta,south,True,Unranked,-2,
Auburn University,national-universities,AL,Auburn,,True,#105,105,
Auburn University at Montgomery,regional-universities-south,AL,Montgomery,south,True,#65,65,
Augsburg University,regional-universities-midwest,MN,Minneapolis,midwest,True,#24,24,
Augustana College,national-liberal-arts-colleges,IL,Rock Island,,True,#100,100,
Augustana University,regional-universities-midwest,SD,Sioux Falls,midwest,True,#13,13,
Augusta University,national-universities,GA,Augusta,,True,#296,296,
Aultman College of Nursing and Health Sciences,health,OH,Canton,,True,Unranked,-2,
Aurora University,national-universities,IL,Aurora,,True,#273,273,
Austin College,national-liberal-arts-colleges,TX,Sherman,,True,#83,83,
Austin Community College District,regional-colleges-west,TX,,west,True,Unranked,-2,
Austin Peay State University,regional-universities-south,TN,Clarksville,south,True,#31,31,
Ave Maria University,national-liberal-arts-colleges,FL,Ave Maria,,True,#178,178,
Averett University,regional-universities-south,VA,Danville,south,True,#62,62,
Avila University,regional-universities-midwest,MO,Kansas City,midwest,True,#117,117,
Azusa Pacific University,national-universities,CA,Azusa,,True,#266,266,
Babson College,specialty-business,MA,Babson Park,,True,Unranked,-2,
Bacone College,regional-colleges-west,OK,Muskogee,west,True,#24,24,
Baker College,regional-universities-midwest,MI,Owosso,midwest,True,#149-164,-1,
Bakersfield College,regional-colleges-west,CA,Bakersfield,west,True,Unranked,-2,
Baker University,national-universities,KS,Baldwin City,,True,#371,371,
Baldwin Wallace University,regional-universities-midwest,OH,Berea,midwest,True,#10,10,
Ball State University,national-universities,IN,Muncie,,True,#204,204,
Baptist Bible College,faith,MO,Springfield,,True,Unranked,-2,
Baptist Health Sciences University,health,TN,Memphis,,True,Unranked,-2,
Baptist Missionary Association Theological Seminary,faith,TX,Jacksonville,,True,Unranked,-2,
Baptist University of Florida,regional-colleges-south,FL,Graceville,south,True,#18,18,
Barclay College,regional-colleges-midwest,KS,Haviland,midwest,True,#51,51,
Bard College,national-liberal-arts-colleges,NY,Annandale on Hudson,,True,#71,71,
Bard College at Simon's Rock,regional-colleges-north,MA,Great Barrington,north,True,Unranked,-2,
Barnard College,national-liberal-arts-colleges,NY,New York,,True,#14,14,
Barry University,national-universities,FL,Miami Shores,,True,#392-434,-1,
Barton College,regional-colleges-south,NC,Wilson,south,True,#10,10,
Bates College,national-liberal-arts-colleges,ME,Lewiston,,True,#26,26,
Bayamon Central University,regional-universities-south,PR,Bayamon,south,True,#122-133,-1,
Baylor University,national-universities,TX,Waco,,True,#91,91,
Bay Mills Community College,tribal,MI,,,True,Unranked,-2,
Bay Path University,regional-universities-north,MA,Longmeadow,north,True,#112,112,
Bay State College,regional-colleges-north,MA,Boston,north,True,#55-60,-1,
Beacon College,regional-colleges-south,FL,Leesburg,south,True,#9,9,
Belhaven University,national-universities,MS,Jackson,,True,#392-434,-1,
Bellarmine University,national-universities,KY,Louisville,,True,#273,273,
Bellevue College,regional-colleges-west,WA,Bellevue,west,True,Unranked,-2,
Bellevue University,regional-universities-midwest,NE,Bellevue,midwest,True,#149-164,-1,
Bellin College,health,WI,Green Bay,,True,Unranked,-2,
Bellingham Technical College,regional-colleges-west,WA,Bellingham,west,True,Unranked,-2,
Belmont Abbey College,regional-colleges-south,NC,Belmont,south,True,#22,22,
Belmont University,national-universities,TN,Nashville,,True,#220,220,
Beloit College,national-liberal-arts-colleges,WI,Beloit,,True,#95,95,
Bemidji State University,regional-universities-midwest,MN,Bemidji,midwest,True,#91,91,
Benedict College,regional-colleges-south,SC,Columbia,south,True,#80,80,
Benedictine College,regional-colleges-midwest,KS,Atchison,midwest,True,#6,6,
Benedictine University,regional-universities-midwest,IL,Lisle,midwest,True,#57,57,
Benjamin Franklin Institute of Technology,regional-colleges-north,MA,Boston,north,True,Unranked,-2,
Bennett College,national-liberal-arts-colleges,NC,Greensboro,,True,#187-204,-1,
Bennington College,national-liberal-arts-colleges,VT,Bennington,,True,#114,114,
Bentley University,regional-universities-north,MA,Waltham,north,True,#2,2,
Berea College,national-liberal-arts-colleges,KY,Berea,,True,#40,40,
Berkeley College (NJ),regional-universities-north,NJ,Woodland Park,north,True,#151-165,-1,
Berkeley College (NY),regional-colleges-north,NY,New York,north,True,#38,38,
Berklee College of Music,regional-universities-north,MA,Boston,north,True,#39,39,
Berry College,regional-universities-south,GA,Mount Berry,south,True,#4,4,
Bethany College (KS),regional-colleges-midwest,KS,Lindsborg,midwest,True,#55,55,
Bethany College (WV),national-liberal-arts-colleges,WV,Bethany,,True,#187-204,-1,
Bethany Lutheran College,national-liberal-arts-colleges,MN,Mankato,,True,#147,147,
Bethel College,regional-colleges-midwest,KS,North Newton,midwest,True,#36,36,
Bethel University (IN),regional-universities-midwest,IN,Mishawaka,midwest,True,#57,57,
Bethel University (MN),national-universities,MN,St. Paul,,True,#220,220,
Bethel University (TN),regional-universities-south,TN,McKenzie,south,True,#120,120,
Bethune-Cookman University,national-liberal-arts-colleges,FL,Daytona Beach,,True,#182,182,
Binghamton University--SUNY,national-universities,NY,Binghamton,,True,#73,73,
Biola University,national-universities,CA,La Mirada,,True,#220,220,
Bismarck State College,regional-colleges-midwest,ND,Bismarck,midwest,True,Unranked,-2,
Blackburn College,regional-colleges-midwest,IL,Carlinville,midwest,True,#32,32,
Black Hills State University,regional-universities-midwest,SD,Spearfish,midwest,True,#147,147,
Blessing-Rieman College of Nursing and Health Sciences,health,IL,Quincy,,True,Unranked,-2,
Bluefield State University,regional-colleges-south,WV,Bluefield,south,True,#39,39,
Bluefield University,regional-universities-south,VA,Bluefield,south,True,#112,112,
Blue Mountain Christian University,regional-colleges-south,MS,Blue Mountain,south,True,#18,18,
Bluffton University,regional-colleges-midwest,OH,Bluffton,midwest,True,#29,29,
Bob Jones University,regional-universities-south,SC,Greenville,south,True,#17,17,
Boise State University,national-universities,ID,Boise,,True,#296,296,
Bon Secours Memorial College of Nursing,health,VA,Richmond,,True,Unranked,-2,
Boricua College,regional-colleges-north,NY,New York,north,True,#18,18,
Boston Architectural College,specialty-arts,MA,Boston,,True,Unranked,-2,
Boston College,national-universities,MA,Chestnut Hill,,True,#37,37,
Boston University,national-universities,MA,Boston,,True,#41,41,
Bowdoin College,national-liberal-arts-colleges,ME,Brunswick,,True,#5,5,
Bowie State University,regional-universities-north,MD,Bowie,north,True,#120,120,
Bowling Green State University,national-universities,OH,Bowling Green,,True,#273,273,
Bradley University,national-universities,IL,Peoria,,True,#189,189,
Brandeis University,national-universities,MA,Waltham,,True,#63,63,
Brazosport College,regional-colleges-west,TX,Lake Jackson,west,True,Unranked,-2,
Brenau University,national-universities,GA,Gainesville,,True,#392-434,-1,
Brescia University,regional-colleges-south,KY,Owensboro,south,True,#36,36,
Brevard College,regional-colleges-south,NC,Brevard,south,True,#34,34,
Brewton-Parker College,regional-colleges-south,GA,Mount Vernon,south,True,#88-97,-1,
Briar Cliff University,national-universities,IA,Sioux City,,True,#371,371,
Bridgewater College,national-liberal-arts-colleges,VA,Bridgewater,,True,#165,165,
Bridgewater State University,regional-universities-north,MA,Bridgewater,north,True,#95,95,
Brigham Young University,national-universities,UT,Provo,,True,#109,109,
Brigham Young University-Hawaii,regional-colleges-west,HI,Laie Oahu,west,True,#6,6,
Brigham Young University--Idaho,regional-colleges-west,ID,Rexburg,west,True,#6,6,
Brookline College--Albuquerque,health,NM,Albuquerque,,True,Unranked,-2,
Brookline College-Phoenix,health,AZ,Phoenix,,True,Unranked,-2,
Broward College,regional-colleges-south,FL,Fort Lauderdale,south,True,Unranked,-2,
Brown University,national-universities,RI,Providence,,True,#13,13,
Bryan College,regional-universities-south,TN,Dayton,south,True,#76,76,
Bryan College of Health Sciences,health,NE,Lincoln,,True,Unranked,-2,
Bryant & Stratton College--Wauwatosa,regional-colleges-midwest,WI,,midwest,True,Unranked,-2,
Bryant University,regional-universities-north,RI,Smithfield,north,True,#6,6,
Bryn Athyn College of the New Church,national-liberal-arts-colleges,PA,Bryn Athyn,,True,#182,182,
Bryn Mawr College,national-liberal-arts-colleges,PA,Bryn Mawr,,True,#29,29,
Bucknell University,national-liberal-arts-colleges,PA,Lewisburg,,True,#31,31,
Buena Vista University,regional-universities-midwest,IA,Storm Lake,midwest,True,#48,48,
Bushnell University,regional-universities-west,OR,Eugene,west,True,#70,70,
Butler University,regional-universities-midwest,IN,Indianapolis,midwest,True,#1,1,
Cabarrus College of Health Sciences,health,NC,Concord,,True,Unranked,-2,
Cairn University,regional-universities-north,PA,Langhorne,north,True,#147,147,
Caldwell University,regional-universities-north,NJ,Caldwell,north,True,#74,74,
California Baptist University,regional-universities-west,CA,Riverside,west,True,#30,30,
California College of the Arts,specialty-arts,CA,San Francisco,,True,Unranked,-2,
California Institute of Technology,national-universities,CA,Pasadena,,True,#6,6,
California Institute of the Arts,regional-universities-west,CA,Valencia,west,True,#34,34,
California Lutheran University,regional-universities-west,CA,Thousand Oaks,west,True,#12,12,
California Polytechnic State University--San Luis Obispo,regional-universities-west,CA,San Luis Obispo,west,True,#1,1,
California State Polytechnic University--Pomona,regional-universities-west,CA,Pomona,west,True,#3,3,
California State University--Bakersfield,regional-universities-west,CA,Bakersfield,west,True,#30,30,
California State University--Channel Islands,regional-universities-west,CA,Camarillo,west,True,#22,22,
California State University--Chico,regional-universities-west,CA,Chico,west,True,#20,20,
California State University--Dominguez Hills,regional-universities-west,CA,Carson,west,True,#35,35,
California State University--East Bay,national-universities,CA,Hayward,,True,#273,273,
California State University--Fresno,national-universities,CA,Fresno,,True,#179,179,
California State University--Fullerton,national-universities,CA,Fullerton,,True,#136,136,
California State University--Long Beach,national-universities,CA,Long Beach,,True,#109,109,
California State University--Los Angeles,regional-universities-west,CA,Los Angeles,west,True,#15,15,
California State University--Maritime Academy,regional-colleges-west,CA,Vallejo,west,True,#2,2,
California State University--Monterey Bay,regional-universities-west,CA,Seaside,west,True,#10,10,
California State University--Northridge,regional-universities-west,CA,Northridge,west,True,#18,18,
California State University--Sacramento,regional-universities-west,CA,Sacramento,west,True,#27,27,
California State University--San Bernardino,national-universities,CA,San Bernardino,,True,#171,171,
California State University--San Marcos,regional-universities-west,CA,San Marcos,west,True,#22,22,
California State University--Stanislaus,regional-universities-west,CA,Turlock,west,True,#10,10,
Cal Poly Humboldt,regional-universities-west,CA,Arcata,west,True,#32,32,
Calumet College of St. Joseph,regional-universities-midwest,IN,Whiting,midwest,True,#149-164,-1,
Calvary University,regional-colleges-midwest,MO,Kansas City,midwest,True,#62,62,
Calvin University,regional-universities-midwest,MI,Grand Rapids,midwest,True,#4,4,
Cambridge College,regional-universities-north,MA,Cambridge,north,True,Unranked,-2,
Cameron University,regional-universities-west,OK,Lawton,west,True,#96,96,
Campbellsville University,regional-universities-south,KY,Campbellsville,south,True,#104,104,
Campbell University,national-universities,NC,Buies Creek,,True,#329,329,
Canisius University,regional-universities-north,NY,Buffalo,north,True,#31,31,
Capital University,regional-universities-midwest,OH,Columbus,midwest,True,#48,48,
Capitol Technology University,national-universities,MD,Laurel,,True,#388,388,
Caribbean University,regional-universities-south,PR,Bayamon,south,True,#122-133,-1,
Caribbean University--Carolina,regional-colleges-south,PR,,south,True,#81,81,
Caribbean University--Vega Baja,regional-colleges-south,PR,,south,True,#88-97,-1,
Carleton College,national-liberal-arts-colleges,MN,Northfield,,True,#8,8,
Carlow University,regional-universities-north,PA,Pittsburgh,north,True,#97,97,
Carnegie Mellon University,national-universities,PA,Pittsburgh,,True,#21,21,
Carolinas College of Health Sciences,health,NC,,,True,Unranked,-2,
Carroll College,regional-colleges-west,MT,Helena,west,True,#3,3,
Carroll University,regional-universities-midwest,WI,Waukesha,midwest,True,#32,32,
Carson-Newman University,national-universities,TN,Jefferson City,,True,#359,359,
Carthage College,regional-universities-midwest,WI,Kenosha,midwest,True,#37,37,
Cascadia College,regional-colleges-west,WA,Bothell,west,True,Unranked,-2,
Case Western Reserve University,national-universities,OH,Cleveland,,True,#51,51,
Castleton University,regional-universities-north,VT,Castleton,north,True,#135,135,
Catawba College,regional-colleges-south,NC,Salisbury,south,True,#5,5,
The Catholic University of America,national-universities,DC,Washington,,True,#171,171,
Cedar Crest College,regional-universities-north,PA,Allentown,north,True,#74,74,
Cedarville University,regional-universities-midwest,OH,Cedarville,midwest,True,#15,15,
CEM College--San Juan,health,PR,San Juan,,True,Unranked,-2,
Centenary College,national-liberal-arts-colleges,LA,Shreveport,,True,#136,136,
Centenary University,regional-universities-north,NJ,Hackettstown,north,True,#97,97,
Central Baptist College,regional-colleges-south,AR,Conway,south,True,#59,59,
Central Christian College of Kansas,regional-colleges-midwest,KS,McPherson,midwest,True,#67,67,
Central College,national-liberal-arts-colleges,IA,Pella,,True,#126,126,
Central Connecticut State University,regional-universities-north,CT,New Britain,north,True,#66,66,
Centralia College,regional-colleges-west,WA,Centralia,west,True,Unranked,-2,
Central Methodist University -- College of Liberal Arts and Sciences,regional-colleges-midwest,MO,Fayette,midwest,True,#21,21,
Central Michigan University,national-universities,MI,Mount Pleasant,,True,#259,259,
Central Penn College,regional-colleges-north,PA,Summerdale,north,True,#38,38,
Central State University,regional-colleges-midwest,OH,Wilberforce,midwest,True,#65,65,
Central Washington University,regional-universities-west,WA,Ellensburg,west,True,#35,35,
Centre College,national-liberal-arts-colleges,KY,Danville,,True,#59,59,
Chadron State College,regional-universities-midwest,NE,Chadron,midwest,True,#135,135,
Chamberlain University,health,IL,Downers Grove,,True,Unranked,-2,
Chaminade University of Honolulu,regional-universities-west,HI,Honolulu,west,True,#33,33,
Champlain College,regional-universities-north,VT,Burlington,north,True,#101,101,
Chapman University,national-universities,CA,Orange,,True,#121,121,
Charles R. Drew University of Medicine and Science,health,CA,Los Angeles,,True,Unranked,-2,
Charleston Southern University,regional-universities-south,SC,Charleston,south,True,#65,65,
Chatham University,national-universities,PA,Pittsburgh,,True,#209,209,
Chestnut Hill College,regional-universities-north,PA,Philadelphia,north,True,#120,120,
Cheyney University of Pennsylvania,national-liberal-arts-colleges,PA,Cheyney,,True,#187-204,-1,
The Chicago School of Professional Psychology at Chicago,health,IL,,,True,Unranked,-2,
Chicago School of Professional Psychology at Los Angeles,health,CA,Los Angeles,,True,Unranked,-2,
Chicago State University,regional-universities-midwest,IL,Chicago,midwest,True,#149-164,-1,
Chipola College,regional-colleges-south,FL,Marianna,south,True,Unranked,-2,
Chowan University,regional-colleges-south,NC,Murfreesboro,south,True,#66,66,
Christ College of Nursing and Health Sciences,health,OH,Cincinnati,,True,Unranked,-2,
Christian Brothers University,regional-universities-south,TN,Memphis,south,True,#26,26,
Christopher Newport University,regional-universities-south,VA,Newport News,south,True,#6,6,
Citadel Military College of South Carolina,regional-universities-south,SC,Charleston,south,True,#1,1,
Claflin University,national-liberal-arts-colleges,SC,Orangeburg,,True,#153,153,
Claremont McKenna College,national-liberal-arts-colleges,CA,Claremont,,True,#8,8,
Clark Atlanta University,national-universities,GA,Atlanta,,True,#352,352,
Clark College,regional-colleges-west,WA,Vancouver,west,True,Unranked,-2,
Clarke University,national-universities,IA,Dubuque,,True,#329,329,
Clarkson College,health,NE,Omaha,,True,Unranked,-2,
Clarkson University,national-universities,NY,Potsdam,,True,#152,152,
Clark University,national-universities,MA,Worcester,,True,#132,132,
Clayton State University,regional-universities-south,GA,Morrow,south,True,#86,86,
Clear Creek Baptist Bible College,faith,KY,Pineville,,True,Unranked,-2,
Cleary University,specialty-business,MI,Howell,,True,Unranked,-2,
Clemson University,national-universities,SC,Clemson,,True,#80,80,
Cleveland Institute of Art,specialty-arts,OH,Cleveland,,True,Unranked,-2,
Cleveland Institute of Music,specialty-arts,OH,Cleveland,,True,Unranked,-2,
Cleveland State University,national-universities,OH,Cleveland,,True,#342,342,
Cleveland University--Kansas City,health,KS,Overland Park,,True,Unranked,-2,
Clover Park Technical College,regional-colleges-west,WA,Lakewood,west,True,Unranked,-2,
Coastal Carolina University,regional-universities-south,SC,Conway,south,True,#34,34,
Coe College,national-liberal-arts-colleges,IA,Cedar Rapids,,True,#136,136,
Coker University,regional-universities-south,SC,Hartsville,south,True,#73,73,
Colby College,national-liberal-arts-colleges,ME,Waterville,,True,#25,25,
Colby-Sawyer College,regional-colleges-north,NH,New London,north,True,#17,17,
Colegio Universitario de San Juan,regional-colleges-south,PR,San Juan,south,True,#88-97,-1,
Colgate University,national-liberal-arts-colleges,NY,Hamilton,,True,#22,22,
College for Creative Studies,specialty-arts,MI,Detroit,,True,Unranked,-2,
College of Biblical Studies--Houston,faith,TX,Houston,,True,Unranked,-2,
College of Central Florida,regional-colleges-south,FL,Ocala,south,True,Unranked,-2,
College of Charleston,regional-universities-south,SC,Charleston,south,True,#9,9,
College of Coastal Georgia,regional-colleges-south,GA,Brunswick,south,True,#72,72,
College of Idaho,regional-colleges-west,ID,Caldwell,west,True,#4,4,
College of Menominee Nation,tribal,WI,Keshena,,True,Unranked,-2,
The College of New Jersey,regional-universities-north,NJ,Ewing,north,True,#1,1,
College of Saint Mary,regional-universities-midwest,NE,Omaha,midwest,True,#43,43,
College of Southern Nevada,regional-colleges-west,NV,Las Vegas,west,True,Unranked,-2,
College of St. Benedict,national-liberal-arts-colleges,MN,St. Joseph,,True,#71,71,
The College of St. Scholastica,national-universities,MN,Duluth,,True,#259,259,
College of the Atlantic,national-liberal-arts-colleges,ME,Bar Harbor,,True,#136,136,
College of the Holy Cross,national-liberal-arts-colleges,MA,Worcester,,True,#28,28,
College of the Ozarks,regional-colleges-midwest,MO,Point Lookout,midwest,True,#4,4,
The College of Westchester,regional-colleges-north,NY,White Plains,north,True,#44,44,
The College of Wooster,national-liberal-arts-colleges,OH,Wooster,,True,#77,77,
Collin County Community College District,regional-colleges-west,TX,,west,True,Unranked,-2,
Colorado Christian University,regional-universities-west,CO,Lakewood,west,True,#55,55,
Colorado College,national-liberal-arts-colleges,CO,Colorado Springs,,True,#29,29,
Colorado Mesa University,regional-colleges-west,CO,Grand Junction,west,True,#16,16,
Colorado Mountain College,regional-colleges-west,CO,Glenwood Springs,west,True,#42-45,-1,
Colorado School of Mines,national-universities,CO,Golden,,True,#76,76,
Colorado State University,national-universities,CO,Fort Collins,,True,#148,148,
Colorado State University Pueblo,regional-universities-west,CO,Pueblo,west,True,#90,90,
Colorado Technical University,national-universities,CO,Colorado Springs,,True,#392-434,-1,
Columbia Basin College,regional-colleges-west,WA,Pasco,west,True,Unranked,-2,
Columbia Central University--Caguas,health,PR,Caguas,,True,Unranked,-2,
Columbia College,regional-universities-midwest,MO,Columbia,midwest,True,#149-164,-1,
Columbia College Chicago,regional-universities-midwest,IL,Chicago,midwest,True,#128,128,
Columbia College Hollywood,specialty-arts,CA,Tarzana,,True,Unranked,-2,
Columbia College (SC),regional-universities-south,SC,Columbia,south,True,#41,41,
Columbia International University,regional-universities-south,SC,Columbia,south,True,#29,29,
Columbia University,national-universities,NY,New York,,True,#13,13,
Columbus College of Art and Design,specialty-arts,OH,Columbus,,True,Unranked,-2,
Columbus State University,regional-universities-south,GA,Columbus,south,True,#65,65,
Commonwealth University of Pennsylvania,regional-universities-north,PA,,north,True,#126,126,
Community College of Denver,regional-colleges-west,CO,Denver,west,True,Unranked,-2,
Conception Seminary College,faith,MO,Conception,,True,Unranked,-2,
Concordia College--Moorhead,national-liberal-arts-colleges,MN,Moorhead,,True,#126,126,
Concordia University Ann Arbor,regional-universities-midwest,MI,Ann Arbor,midwest,True,#145,145,
Concordia University Chicago,regional-universities-midwest,IL,River Forest,midwest,True,#109,109,
Concordia University Irvine,national-universities,CA,Irvine,,True,#342,342,
Concordia University (NE),regional-universities-midwest,NE,Seward,midwest,True,#82,82,
Concordia University--St. Paul,regional-universities-midwest,MN,St. Paul,midwest,True,#96,96,
Concordia University Texas,regional-universities-west,TX,Austin,west,True,#93,93,
Concordia University Wisconsin,national-universities,WI,Mequon,,True,#329,329,
Concord University,regional-universities-south,WV,Athens,south,True,#76,76,
Connecticut College,national-liberal-arts-colleges,CT,New London,,True,#55,55,
Converse University,regional-universities-south,SC,Spartanburg,south,True,#45,45,
Cooper Union for the Advancement of Science and Art,regional-colleges-north,NY,New York,north,True,#2,2,
Coppin State University,regional-universities-north,MD,Baltimore,north,True,#151-165,-1,
Corban University,regional-universities-west,OR,Salem,west,True,#81,81,
Cornell College,national-liberal-arts-colleges,IA,Mount Vernon,,True,#132,132,
Cornell University,national-universities,NY,Ithaca,,True,#11,11,
Cornerstone University,regional-universities-midwest,MI,Grand Rapids,midwest,True,#64,64,
Cornish College of the Arts,specialty-arts,WA,Seattle,,True,Unranked,-2,
Cottey College,regional-colleges-midwest,MO,Nevada,midwest,True,#5,5,
Covenant College,national-liberal-arts-colleges,GA,Lookout Mountain,,True,#119,119,
Creighton University,national-universities,NE,Omaha,,True,#121,121,
Criswell College,regional-colleges-west,TX,Dallas,west,True,#6,6,
Crowley's Ridge College,regional-colleges-south,AR,Paragould,south,True,#47,47,
Crown College,regional-universities-midwest,MN,St. Bonifacius,midwest,True,#130,130,
Culinary Institute of America,specialty-arts,NY,Hyde Park,,True,Unranked,-2,
Culver-Stockton College,regional-colleges-midwest,MO,Canton,midwest,True,#25,25,
Cumberland University,regional-universities-south,TN,Lebanon,south,True,#92,92,
CUNY--Baruch College,regional-universities-north,NY,New York,north,True,#11,11,
CUNY--Brooklyn College,regional-universities-north,NY,Brooklyn,north,True,#39,39,
CUNY--City College,national-universities,NY,New York,,True,#121,121,
CUNY--College of Staten Island,regional-universities-north,NY,Staten Island,north,True,#101,101,
CUNY--Hunter College,regional-universities-north,NY,New York,north,True,#27,27,
CUNY--John Jay College of Criminal Justice,regional-universities-north,NY,New York,north,True,#22,22,
CUNY--Lehman College,regional-universities-north,NY,Bronx,north,True,#31,31,
CUNY--New York City College of Technology,regional-colleges-north,NY,Brooklyn,north,True,#21,21,
CUNY--Queens College,regional-universities-north,NY,Queens,north,True,#49,49,
Curry College,regional-universities-north,MA,Milton,north,True,#135,135,
Curtis Institute of Music,specialty-arts,PA,Philadelphia,,True,Unranked,-2,
Cypress College,regional-colleges-west,CA,Cypress,west,True,Unranked,-2,
Daemen University,national-universities,NY,Amherst,,True,#352,352,
Dakota State University,regional-universities-midwest,SD,Madison,midwest,True,#91,91,
Dakota Wesleyan University,regional-colleges-midwest,SD,Mitchell,midwest,True,#29,29,
Dallas Baptist University,national-universities,TX,Dallas,,True,#392-434,-1,
Dalton State College,regional-colleges-south,GA,Dalton,south,True,#41,41,
Dartmouth College,national-universities,NH,Hanover,,True,#15,15,
Davenport University,regional-universities-midwest,MI,Grand Rapids,midwest,True,#137,137,
Davidson College,national-liberal-arts-colleges,NC,Davidson,,True,#14,14,
Davis and Elkins College,regional-colleges-south,WV,Elkins,south,True,#15,15,
Davis College,faith,NY,Bible School Park,,True,Unranked,-2,
Daytona State College,regional-colleges-south,FL,Daytona Beach,south,True,Unranked,-2,
Dean College,regional-colleges-north,MA,Franklin,north,True,#32,32,
Defiance College,regional-colleges-midwest,OH,Defiance,midwest,True,#46,46,
Delaware State University,regional-universities-north,DE,Dover,north,True,#115,115,
Delaware Technical Community College--Terry,regional-colleges-north,DE,Dover,north,True,Unranked,-2,
Delaware Valley University,regional-universities-north,PA,Doylestown,north,True,#134,134,
Delta State University,regional-universities-south,MS,Cleveland,south,True,#51,51,
Denison University,national-liberal-arts-colleges,OH,Granville,,True,#36,36,
Denver College of Nursing,health,CO,Denver,,True,Unranked,-2,
DePaul University,national-universities,IL,Chicago,,True,#165,165,
DePauw University,national-liberal-arts-colleges,IN,Greencastle,,True,#50,50,
DeSales University,national-universities,PA,Center Valley,,True,#296,296,
Design Institute of San Diego,specialty-arts,CA,San Diego,,True,Unranked,-2,
DeVry University,regional-universities-midwest,IL,Lisle,midwest,True,#149-164,-1,
Dickinson College,national-liberal-arts-colleges,PA,Carlisle,,True,#45,45,
Dickinson State University,regional-colleges-midwest,ND,Dickinson,midwest,True,#46,46,
DigiPen Institute of Technology,unranked,WA,Redmond,,True,Unranked,-2,
Dillard University,national-liberal-arts-colleges,LA,New Orleans,,True,#153,153,
Dine College,tribal,AZ,Tsaile,,True,Unranked,-2,
Divine Word College,national-liberal-arts-colleges,IA,Epworth,,True,Unranked,-2,
Doane University,regional-universities-midwest,NE,Crete,midwest,True,#79,79,
Dominican University,regional-universities-midwest,IL,River Forest,midwest,True,#20,20,
Dominican University New York,national-universities,NY,Orangeburg,,True,#329,329,
Dominican University of California,regional-universities-west,CA,San Rafael,west,True,#22,22,
Donnelly College,regional-colleges-midwest,KS,Kansas City,midwest,True,Unranked,-2,
Dordt University,regional-universities-midwest,IA,Sioux Center,midwest,True,#6,6,
Drake University,national-universities,IA,Des Moines,,True,#179,179,
Drew University,national-liberal-arts-colleges,NJ,Madison,,True,#83,83,
Drexel University,national-universities,PA,Philadelphia,,True,#86,86,
Drury University,regional-universities-midwest,MO,Springfield,midwest,True,#24,24,
Duke University,national-universities,NC,Durham,,True,#6,6,
Dunwoody College of Technology,regional-colleges-midwest,MN,Minneapolis,midwest,True,#28,28,
Duquesne University,national-universities,PA,Pittsburgh,,True,#165,165,
D'Youville University,national-universities,NY,Buffalo,,True,#259,259,
Eagle Gate College--Murray,health,UT,,,True,Unranked,-2,
Earlham College,national-liberal-arts-colleges,IN,Richmond,,True,#74,74,
East Carolina University,national-universities,NC,Greenville,,True,#189,189,
East Central University,regional-universities-west,OK,Ada,west,True,#84,84,
Eastern Connecticut State University,regional-universities-north,CT,Willimantic,north,True,#57,57,
Eastern Florida State College,regional-colleges-south,FL,Cocoa,south,True,Unranked,-2,
Eastern Illinois University,regional-universities-midwest,IL,Charleston,midwest,True,#54,54,
Eastern International College--Jersey City,health,NJ,Jersey City,,True,Unranked,-2,
Eastern Kentucky University,national-universities,KY,Richmond,,True,#315,315,
Eastern Mennonite University,regional-universities-south,VA,Harrisonburg,south,True,#48,48,
Eastern Michigan University,national-universities,MI,Ypsilanti,,True,#377,377,
Eastern New Mexico University,regional-universities-west,NM,Portales,west,True,#96,96,
Eastern Oregon University,regional-universities-west,OR,La Grande,west,True,#87,87,
Eastern University,regional-universities-north,PA,St. Davids,north,True,#146,146,
Eastern Washington University,regional-universities-west,WA,Cheney,west,True,#53,53,
East Georgia State College,regional-colleges-south,GA,Swainsboro,south,True,Unranked,-2,
East Stroudsburg University,regional-universities-north,PA,East Stroudsburg,north,True,#129,129,
East Tennessee State University,national-universities,TN,Johnson City,,True,#315,315,
East Texas A&M University,national-universities,TX,Commerce,,True,#377,377,
East Texas Baptist University,regional-universities-west,TX,Marshall,west,True,#84,84,
East-West University,national-liberal-arts-colleges,IL,Chicago,,True,#187-204,-1,
Eckerd College,national-liberal-arts-colleges,FL,St. Petersburg,,True,#126,126,
ECPI University,regional-universities-south,VA,Virginia Beach,south,True,#110,110,
Edgewood College,national-universities,WI,Madison,,True,#315,315,
Edmonds Community College,regional-colleges-west,WA,Lynnwood,west,True,Unranked,-2,
EDP University of Puerto Rico Inc--San Juan,regional-colleges-south,PR,San Juan,south,True,Unranked,-2,
Edward Waters University,regional-colleges-south,FL,Jacksonville,south,True,#47,47,
Elizabeth City State University,regional-colleges-south,NC,Elizabeth City,south,True,#26,26,
Elizabethtown College,regional-universities-north,PA,Elizabethtown,north,True,#44,44,
Elmhurst University,regional-universities-midwest,IL,Elmhurst,midwest,True,#7,7,
