displayName,schoolType,state,city,region,isPublic,displayRank,sortRank,ReligiousAffiliation
University of Saint Joseph,regional-universities-north,CT,West Hartford,north,True,#49,49,
University of Saint Mary,regional-universities-midwest,KS,Leavenworth,midwest,True,#91,91,
University of San Diego,national-universities,CA,San Diego,,True,#109,109,
University of San Francisco,national-universities,CA,San Francisco,,True,#109,109,
University of Science and Arts of Oklahoma,national-liberal-arts-colleges,OK,Chickasha,,True,#187-204,-1,
University of Scranton,regional-universities-north,PA,Scranton,north,True,#6,6,
University of Silicon Valley,regional-colleges-west,CA,San Jose,west,True,#13,13,
University of Sioux Falls,regional-universities-midwest,SD,Sioux Falls,midwest,True,#82,82,
University of South Alabama,national-universities,AL,Mobile,,True,#371,371,
University of South Carolina,national-universities,SC,Columbia,,True,#121,121,
University of South Carolina--Aiken,regional-universities-south,SC,Aiken,south,True,#65,65,
University of South Carolina--Beaufort,regional-colleges-south,SC,Bluffton,south,True,#38,38,
University of South Carolina--Upstate,regional-colleges-south,SC,Spartanburg,south,True,#7,7,
University of South Dakota,national-universities,SD,Vermillion,,True,#273,273,
University of Southern California,national-universities,CA,Los Angeles,,True,#27,27,
University of Southern Indiana,regional-universities-midwest,IN,Evansville,midwest,True,#73,73,
University of Southern Maine,regional-universities-north,ME,Portland,north,True,#139,139,
University of Southern Mississippi,national-universities,MS,Hattiesburg,,True,#342,342,
University of South Florida,national-universities,FL,Tampa,,True,#91,91,
University of St. Francis,national-universities,IL,Joliet,,True,#296,296,
University of St. Thomas (MN),national-universities,MN,St. Paul,,True,#148,148,
University of St. Thomas (TX),national-universities,TX,Houston,,True,#209,209,
University of Tampa,regional-universities-south,FL,Tampa,south,True,#14,14,
University of Tennessee at Chattanooga,national-universities,TN,Chattanooga,,True,#315,315,
University of Tennessee Health Sciences Center,special-focus-research,TN,Memphis,,True,Unranked,-2,
University of Tennessee--Knoxville,national-universities,TN,Knoxville,,True,#109,109,
The University of Tennessee-Martin,regional-universities-south,TN,Martin,south,True,#20,20,
University of Tennessee Southern,regional-colleges-south,TN,Pulaski,south,True,#41,41,
The University of Texas--Arlington,national-universities,TX,Arlington,,True,#231,231,
The University of Texas at Tyler,national-universities,TX,Tyler,,True,#359,359,
The University of Texas--Austin,national-universities,TX,Austin,,True,#30,30,
